session,clip,affective,visual,behavior,overall
20201222_01,1,0.5,0.75,0.75,0.6667
20201222_01,2,0.5,0.75,0.75,0.6667
20201222_01,3,0.5,0.75,0.75,0.6667
20201222_01,4,0.5,0.75,0.75,0.6667
20201222_01,5,0.5,0.75,0.75,0.6667
20201222_01,6,0.5,0.75,0.75,0.6667
20201222_01,7,0.5,0.75,0.75,0.6667
20201222_01,8,0.5,0.75,0.75,0.6667
20201222_01,9,0.5,0.75,0.75,0.6667
20201222_01,10,0.5,0.75,0.75,0.6667
20201222_01,11,0.5,0.75,0.75,0.6667
20201222_01,12,0.5,0.75,0.75,0.6667
20201222_01,13,0.5,0.75,0.75,0.6667
20201222_01,14,0.5,0.75,0.75,0.6667
20201222_01,15,0.5,0.75,0.75,0.6667
20201222_01,16,0.5,0.75,0.75,0.6667
20201222_01,17,0.5,0.75,0.75,0.6667
20201222_01,18,0.5,0.4219,0.75,0.5573
20201222_01,19,0.5,0.25,0.75,0.5
20201222_01,20,0.5,0.25,0.75,0.5
20201222_01,21,0.5,0.25,0.75,0.5
20201222_01,22,0.5,0.25,0.75,0.5
20201222_01,23,0.5,0.25,0.75,0.5
20201222_01,24,0.5,0.25,0.75,0.5
20201222_01,25,0.5,0.25,0.75,0.5
20201222_01,26,0.5,0.25,0.75,0.5
20201222_01,27,0.5,0.3906,0.75,0.5469
20201222_01,28,0.5,0.75,0.75,0.6667
20201222_01,29,0.5,0.75,0.75,0.6667
20201222_01,30,0.5,0.75,0.75,0.6667
20201222_01,31,0.5,0.75,0.75,0.6667
20201222_01,32,0.5,0.75,0.75,0.6667
20201222_01,33,0.5,0.75,0.75,0.6667
20201222_01,34,0.5,0.75,0.75,0.6667
20201222_01,35,0.5,0.75,0.75,0.6667
20201222_01,36,0.5,0.75,0.75,0.6667
20201222_01,37,0.5,0.75,0.75,0.6667
20201222_01,38,0.5,0.75,0.75,0.6667
20201222_01,39,0.5,0.75,0.75,0.6667
20201222_01,40,0.5,0.75,0.75,0.6667
20201222_01,41,0.5,0.75,0.75,0.6667
20201222_01,42,0.5,0.75,0.75,0.6667
20201222_01,43,0.5,0.75,0.75,0.6667
20201222_01,44,0.5,0.75,0.75,0.6667
20201222_01,45,0.5,0.75,0.75,0.6667
20201222_01,46,0.5,0.75,0.75,0.6667
20201222_01,47,0.5,0.75,0.75,0.6667
20201222_01,48,0.5,0.75,0.75,0.6667
20201222_01,49,0.5,0.75,0.75,0.6667
20201222_01,50,0.5,0.75,0.75,0.6667
20201222_01,51,0.5,0.75,0.75,0.6667
20201222_01,52,0.5,0.75,0.75,0.6667
20201222_01,53,0.5,0.75,0.75,0.6667
20201222_01,54,0.5,0.75,0.75,0.6667
20201222_01,55,0.5,0.75,0.75,0.6667
20201222_01,56,0.5,0.75,0.75,0.6667
20201222_01,57,0.5,0.75,0.75,0.6667
20201222_01,58,0.5,0.75,0.75,0.6667
20201222_01,59,0.5,0.75,0.75,0.6667
20201222_01,60,0.5,0.75,0.75,0.6667
20201222_01,61,0.5,0.75,0.75,0.6667
20201222_01,62,0.5,0.75,0.75,0.6667
20201222_01,63,0.5,0.75,0.75,0.6667
20201222_01,64,0.5,0.75,0.75,0.6667
20201222_01,65,0.5,0.75,0.75,0.6667
20201222_01,66,0.5,0.75,0.75,0.6667
20201222_01,67,0.5,0.75,0.75,0.6667
20201222_01,68,0.5,0.75,0.75,0.6667
20201222_01,69,0.5,0.75,0.75,0.6667
20201222_01,70,0.5,0.75,0.75,0.6667
20201222_01,71,0.5,0.75,0.75,0.6667
20201222_01,72,0.5,0.75,0.75,0.6667
20201222_01,73,0.5,0.75,0.75,0.6667
20201222_01,74,0.5,0.75,0.75,0.6667
20201222_01,75,0.5,0.75,0.75,0.6667
20201222_01,76,0.5,0.75,0.75,0.6667
20201222_01,77,0.5,0.75,0.75,0.6667
20201222_01,78,0.5,0.75,0.75,0.6667
20201222_01,79,0.5,0.75,0.75,0.6667
20201222_01,80,0.5,0.75,0.75,0.6667
20201222_01,81,0.5,0.75,0.75,0.6667
20201222_01,82,0.6094,0.75,0.75,0.7031
20201222_01,83,0.75,0.75,0.75,0.75
20201222_01,84,0.75,0.75,0.75,0.75
20201222_01,85,0.75,0.75,0.75,0.75
20201222_01,86,0.75,0.75,0.75,0.75
20201222_01,87,0.75,0.75,0.75,0.75
20201222_01,88,0.75,0.75,0.75,0.75
20201222_01,89,0.75,0.75,0.75,0.75
20201222_01,90,0.75,0.75,0.75,0.75
20201222_01,91,0.75,0.75,0.75,0.75
20201222_01,92,0.75,0.75,0.75,0.75
20201222_01,93,0.75,0.75,0.75,0.75
20201222_01,94,0.75,0.75,0.75,0.75
20201222_01,95,0.75,0.75,0.75,0.75
20201222_01,96,0.75,0.75,0.75,0.75
20201222_01,97,0.75,0.75,0.75,0.75
20201222_01,98,0.75,0.75,0.75,0.75
20201222_01,99,0.75,0.75,0.75,0.75
20201222_01,100,0.75,0.75,0.75,0.75
20201222_01,101,0.75,0.75,0.75,0.75
20201222_01,102,0.75,0.75,0.75,0.75
20201222_01,103,0.75,0.75,0.75,0.75
20201222_01,104,0.75,0.75,0.75,0.75
20201222_01,105,0.75,0.75,0.75,0.75
20201222_01,106,0.75,0.75,0.75,0.75
20201222_01,107,0.75,0.75,0.75,0.75
20201222_01,108,0.75,0.75,0.75,0.75
20201222_01,109,0.75,0.75,0.75,0.75
20201222_01,110,0.75,0.75,0.75,0.75
