session,id,scale,begin,end,score
20201222_01,1,1,00:00:00,00:02:54,3
20201222_01,1,1,00:02:54,00:04:14,4
20201222_01,1,1,00:04:14,00:04:54,2
20201222_01,1,1,00:04:54,00:06:08,3
20201222_01,1,2,00:00:00,00:00:37,4
20201222_01,1,2,00:00:37,00:00:57,2
20201222_01,1,2,00:00:57,00:04:14,4
20201222_01,1,2,00:04:14,00:04:54,2
20201222_01,1,2,00:04:54,00:05:51,4
20201222_01,1,2,00:05:51,00:06:08,3
20201222_01,1,3,00:00:00,00:04:14,4
20201222_01,1,3,00:04:14,00:04:54,2
20201222_01,1,3,00:04:54,00:05:51,4
20201222_01,1,3,00:05:51,00:06:08,1
20201222_02,2,1,00:00:00,00:02:13,4
20201222_02,2,1,00:02:13,00:03:24,3
20201222_02,2,1,00:03:24,00:11:58,4
20201222_02,2,1,00:11:58,00:21:03,3
20201222_02,2,2,00:00:00,00:02:13,4
20201222_02,2,2,00:02:13,00:04:20,2
20201222_02,2,2,00:04:20,00:11:58,4
20201222_02,2,2,00:11:58,00:21:03,3
20201222_02,2,3,00:00:00,00:11:58,4
20201222_02,2,3,00:11:58,00:13:07,1
20201222_02,2,3,00:13:07,00:21:03,4
20201222_03,3,1,00:00:00,00:06:56,5
20201222_03,3,2,00:00:00,00:06:38,4
20201222_03,3,2,00:06:38,00:06:56,2
20201222_03,3,3,00:00:00,00:06:38,4
20201222_03,3,3,00:06:38,00:06:56,2
20201222_04,4,1,00:00:00,00:02:26,3
20201222_04,4,1,00:02:26,00:04:43,4
20201222_04,4,1,00:04:43,00:14:21,3
20201222_04,4,1,00:14:21,00:19:09,4
20201222_04,4,2,00:00:00,00:14:39,4
20201222_04,4,2,00:14:39,00:16:45,2
20201222_04,4,2,00:16:45,00:19:09,3
20201222_04,4,3,00:00:00,00:19:09,4
20201222_05,5,1,00:00:00,00:06:59,3
20201222_05,5,1,00:06:59,00:07:19,2
20201222_05,5,2,00:00:00,00:06:59,3
20201222_05,5,2,00:06:59,00:07:19,1
20201222_05,5,3,00:00:00,00:07:19,3
20201222_06,6,1,00:00:00,00:01:04,2
20201222_06,6,1,00:01:04,00:03:05,3
20201222_06,6,1,00:03:05,00:05:10,2
20201222_06,6,2,00:00:00,00:01:04,2
20201222_06,6,2,00:01:04,00:05:17,3
20201222_06,6,2,00:05:17,00:05:10,2
20201222_06,6,3,00:00:00,00:05:10,3
20201222_07,7,1,00:00:00,00:05:19,4
20201222_07,7,1,00:05:19,00:05:46,3
20201222_07,7,1,00:05:46,00:06:16,5
20201222_07,7,1,00:06:16,00:14:03,4
20201222_07,7,2,00:00:00,00:14:03,4
20201222_07,7,3,00:00:00,00:14:03,4
20201222_08,8,1,00:00:00,00:02:56,3
20201222_08,8,1,00:02:56,00:05:12,2
20201222_08,8,1,00:05:12,00:05:57,3
20201222_08,8,1,00:05:57,00:12:08,4
20201222_08,8,1,00:12:08,00:12:40,2
20201222_08,8,2,00:00:00,00:02:56,3
20201222_08,8,2,00:02:56,00:05:12,2
20201222_08,8,2,00:05:12,00:12:07,4
20201222_08,8,2,00:12:07,00:12:40,2
20201222_08,8,3,00:00:00,00:12:08,3
20201222_08,8,3,00:12:08,00:12:40,2
20201222_09,9,1,00:00:00,00:02:19,4
20201222_09,9,1,00:02:19,00:03:53,3
20201222_09,9,1,00:03:53,00:06:30,4
20201222_09,9,1,00:06:30,00:06:57,3
20201222_09,9,1,00:06:57,00:12:23,4
20201222_09,9,1,00:12:23,00:12:36,5
20201222_09,9,1,00:12:36,00:14:17,4
20201222_09,9,2,00:00:00,00:06:30,4
20201222_09,9,2,00:06:30,00:06:56,3
20201222_09,9,2,00:06:56,00:11:59,4
20201222_09,9,2,00:11:59,00:12:09,2
20201222_09,9,2,00:12:09,00:13:12,4
20201222_09,9,2,00:13:12,00:13:23,3
20201222_09,9,2,00:13:23,00:14:17,4
20201222_09,9,3,00:00:00,00:14:17,4
20201222_10,10,1,00:00:00,00:01:22,2
20201222_10,10,1,00:01:22,00:03:40,3
20201222_10,10,1,00:03:40,00:05:36,4
20201222_10,10,1,00:05:36,00:10:46,3
20201222_10,10,2,00:00:00,00:00:13,3
20201222_10,10,2,00:00:13,00:01:22,2
20201222_10,10,2,00:01:22,00:10:46,3
20201222_10,10,3,00:00:00,00:10:46,3
20201222_11,11,1,00:00:00,00:00:10,5
20201222_11,11,1,00:00:10,00:01:08,4
20201222_11,11,1,00:01:08,00:02:05,3
20201222_11,11,1,00:02:05,00:02:23,2
20201222_11,11,1,00:02:23,00:02:36,4
20201222_11,11,1,00:02:36,00:03:01,3
20201222_11,11,1,00:03:01,00:07:37,4
20201222_11,11,1,00:07:37,00:10:05,3
20201222_11,11,2,00:00:00,00:01:22,4
20201222_11,11,2,00:01:22,00:02:05,3
20201222_11,11,2,00:02:05,00:09:40,4
20201222_11,11,2,00:09:40,00:10:05,2
20201222_11,11,3,00:00:00,00:09:40,4
20201222_11,11,3,00:09:40,00:10:05,3
20201222_12,12,1,00:00:00,00:00:20,3
20201222_12,12,1,00:00:20,00:06:57,4
20201222_12,12,1,00:06:57,00:07:28,3
20201222_12,12,2,00:00:00,00:05:38,4
20201222_12,12,2,00:05:38,00:06:09,3
20201222_12,12,2,00:06:09,00:07:28,4
20201222_12,12,3,00:00:00,00:06:57,3
20201222_12,12,3,00:06:57,00:07:28,2
20201222_13,13,1,00:00:00,00:03:53,3
20201222_13,13,1,00:03:53,00:07:23,4
20201222_13,13,1,00:07:23,00:08:16,3
20201222_13,13,2,00:00:00,00:00:25,3
20201222_13,13,2,00:00:25,00:04:57,4
20201222_13,13,2,00:04:57,00:06:09,2
20201222_13,13,2,00:06:09,00:07:23,4
20201222_13,13,2,00:07:23,00:08:16,3
20201222_13,13,3,00:00:00,00:08:16,4
20201222_14,14,1,00:00:00,00:05:08,3
20201222_14,14,1,00:05:08,00:06:45,2
20201222_14,14,1,00:06:45,00:09:47,3
20201222_14,14,2,00:00:00,00:00:17,3
20201222_14,14,2,00:00:17,00:05:08,4
20201222_14,14,2,00:05:08,00:06:44,2
20201222_14,14,2,00:06:44,00:09:47,3
20201222_14,14,3,00:00:00,00:09:47,4
