session,p_num,box_num,p1_box,p2_box,p3_box,p4_box
20201222_01,2,1373,688,685,,
20201222_02,3,7089,2364,2363,2362,
20201222_03,3,2005,779,778,448,
20201222_04,3,5872,2142,1989,1741,
20201222_05,3,2419,810,816,793,
20201222_06,4,1870,580,580,437,273
20201222_07,3,4629,1560,1572,1497,
20201222_08,3,4164,1423,1391,1350,
20201222_09,3,4800,1600,1600,1600,
20201222_10,2,2285,1204,1081,,
20201222_11,2,2264,1132,1132,,
20201222_12,2,1665,835,830,,
20201222_13,2,1855,928,927,,
20201222_14,2,2176,1100,1076,,
20201229_01,3,3631,1264,1253,1114,
20201229_02,3,4459,1486,1489,1484,
20201229_03,3,12154,4120,4097,3937,
20201229_04,2,1728,864,864,,
20201229_05,3,4028,1599,1400,1029,
20201229_06,3,3792,1484,1460,848,
20210105_01,3,3228,1196,1160,872,
20210105_02,2,2897,1624,1273,,
20210105_03,3,3731,1244,1243,1244,
20210105_04,3,5344,1832,1833,1679,
20210105_05,3,4871,1856,1803,1212,
20210105_06,2,1856,1036,820,,
20210105_07,3,2416,940,831,645,
20210105_08,2,2296,1316,980,,
20210105_09,2,1371,688,683,,
20210105_10,2,4166,2445,1721,,
20210105_11,1,1061,1061,,,
20210105_12,3,1229,628,340,261,
20210105_13,3,1246,436,419,391,
20210105_14,3,1138,480,428,230,
20210309_01,2,4051,2316,1735,,
20210309_02,2,2605,1328,1277,,
20210309_03,2,2687,1388,1299,,
20210309_04,2,7149,4304,2845,,
20210309_05,2,1638,828,810,,
20210309_06,2,4293,2204,2089,,
20210309_07,3,6948,2491,2366,2091,
20210309_08,2,1575,787,788,,
20210309_09,3,6276,2430,2400,1446,
