session,total_frame,sampled_frame,clip_num
20201222_01,5505,5504,172
20201222_02,18940,18912,591
20201222_03,6248,6240,195
20201222_04,17210,17184,537
20201222_05,6530,6528,204
20201222_06,4649,4640,145
20201222_07,12600,12576,393
20201222_08,11408,11392,356
20201222_09,12810,12800,400
20201222_10,9657,9632,301
20201222_11,9067,9056,283
20201222_12,6724,6720,210
20201222_13,7442,7424,232
20201222_14,8805,8800,275
20201229_01,10137,10112,316
20201229_02,11963,11936,373
20201229_03,32989,32960,1030
20201229_04,6920,6912,216
20201229_05,12808,12800,400
20201229_06,11902,11872,371
20210105_01,9598,9568,299
20210105_02,12996,12992,406
20210105_03,9961,9952,311
20210105_04,14703,14688,459
20210105_05,14870,14848,464
20210105_06,8313,8288,259
20210105_07,7550,7520,235
20210105_08,10546,10528,329
20210105_09,5521,5504,172
20210105_10,19671,19648,614
20210105_11,8536,8512,266
20210105_12,5161,5152,161
20210105_13,3511,3488,109
20210105_14,3871,3840,120
20210309_01,18551,18528,579
20210309_02,10637,10624,332
20210309_03,11118,11104,347
20210309_04,34433,34432,1076
20210309_05,6654,6624,207
20210309_06,17647,17632,551
20210309_07,20030,20000,625
20210309_08,6326,6304,197
20210309_09,19463,19456,608
#summary,503981,503232,15726
